variable_1,variable_2,rho_spearman
anchor_age,lactato_max,-0.02102328665199509
map_min,pf_min,0.020213260878828146
hr_media,creatinina_max,-0.02017514625207119
gender,rr_max,-0.020018354077228125
map_min,rr_max,-0.019196974837070054
contador_estancia_uci,leucocitos_max,-0.01908995920833041
spo2_min,tp_max,-0.018947705209538188
ventilacion_invasiva_6h,hemoglobina_min,0.018917853267572723
gcs_min,hemoglobina_min,-0.018357915182679523
ventilacion_invasiva_6h,temp_max,-0.01818904331487226
peso_kg,tp_max,0.01816908514542384
peso_kg,leucocitos_max,0.017784319148769566
map_min,leucocitos_max,-0.01747498018048585
ph_min,bilirrubina_media,0.01722350936498705
peso_kg,gcs_min,-0.016446849746952683
hr_media,hemoglobina_min,-0.015747760171292088
contador_estancia_uci,lactato_max,-0.015597303259352864
fio2_media,bicarbonato_min,-0.014122870993896296
gpt_media,temp_max,0.014001616769625806
rr_max,glucemia_max,0.013711360209154115
bilirrubina_media,temp_max,0.01368689471022441
ventilacion_invasiva_6h,creatinina_max,-0.012490987591980739
ph_min,tp_max,-0.011617638683974313
leucocitos_max,temp_max,0.01132392574747477
gender,bicarbonato_min,0.011096664493365303
map_min,gcs_min,0.010765530826581115
ventilacion_invasiva_6h,leucocitos_max,-0.01014068094215065
pf_min,bicarbonato_min,-0.010042637539656115
peso_kg,plaquetas_min,-0.009784782379578047
pf_min,bilirrubina_media,0.00969661405255822
hr_media,glucemia_max,0.008292751496607577
rr_max,diuresis_ml_kg_6h,-0.007199622742244139
contador_estancia_uci,ph_min,-0.007068774443934122
gender,lactato_max,0.007006349472547548
gender,contador_estancia_uci,0.006746215520471446
gcs_min,leucocitos_max,0.006355388339091687
gender,ventilacion_invasiva_6h,-0.005827586635399141
pf_min,hemoglobina_min,-0.004898660726223361
rr_max,sofa_media,-0.0037727436198329196
lactato_max,hemoglobina_min,-0.003704749346315306
peso_kg,ventilacion_invasiva_6h,0.002863493852922929
rr_max,hemoglobina_min,0.0026952423046310513
peso_kg,hr_media,-0.0023466348119715393
map_min,temp_max,0.002181181617204562
pf_min,temp_max,-0.0017645232153208719
rr_max,gpt_media,0.0008300445671533907
gender,glucemia_max,0.00040938629988450425
gender,ph_min,-7.016606532485957e-05
anchor_age,anchor_age,
gender,anchor_age,
gender,gender,
peso_kg,anchor_age,
peso_kg,gender,
peso_kg,peso_kg,
contador_estancia_uci,anchor_age,
contador_estancia_uci,gender,
contador_estancia_uci,peso_kg,
contador_estancia_uci,contador_estancia_uci,
map_min,anchor_age,
map_min,gender,
map_min,peso_kg,
map_min,contador_estancia_uci,
map_min,map_min,
hr_media,anchor_age,
hr_media,gender,
hr_media,peso_kg,
hr_media,contador_estancia_uci,
hr_media,map_min,
hr_media,hr_media,
pf_min,anchor_age,
pf_min,gender,
pf_min,peso_kg,
pf_min,contador_estancia_uci,
pf_min,map_min,
pf_min,hr_media,
pf_min,pf_min,
spo2_min,anchor_age,
spo2_min,gender,
spo2_min,peso_kg,
spo2_min,contador_estancia_uci,
spo2_min,map_min,
spo2_min,hr_media,
spo2_min,pf_min,
spo2_min,spo2_min,
fio2_media,anchor_age,
fio2_media,gender,
fio2_media,peso_kg,
fio2_media,contador_estancia_uci,
fio2_media,map_min,
fio2_media,hr_media,
fio2_media,pf_min,
fio2_media,spo2_min,
fio2_media,fio2_media,
rr_max,anchor_age,
rr_max,gender,
rr_max,peso_kg,
rr_max,contador_estancia_uci,
rr_max,map_min,
rr_max,hr_media,
rr_max,pf_min,
rr_max,spo2_min,
rr_max,fio2_media,
rr_max,rr_max,
ventilacion_invasiva_6h,anchor_age,
ventilacion_invasiva_6h,gender,
ventilacion_invasiva_6h,peso_kg,
ventilacion_invasiva_6h,contador_estancia_uci,
ventilacion_invasiva_6h,map_min,
ventilacion_invasiva_6h,hr_media,
ventilacion_invasiva_6h,pf_min,
ventilacion_invasiva_6h,spo2_min,
ventilacion_invasiva_6h,fio2_media,
ventilacion_invasiva_6h,rr_max,
ventilacion_invasiva_6h,ventilacion_invasiva_6h,
gcs_min,anchor_age,
gcs_min,gender,
gcs_min,peso_kg,
gcs_min,contador_estancia_uci,
gcs_min,map_min,
gcs_min,hr_media,
gcs_min,pf_min,
gcs_min,spo2_min,
gcs_min,fio2_media,
gcs_min,rr_max,
gcs_min,ventilacion_invasiva_6h,
gcs_min,gcs_min,
creatinina_max,anchor_age,
creatinina_max,gender,
creatinina_max,peso_kg,
creatinina_max,contador_estancia_uci,
creatinina_max,map_min,
creatinina_max,hr_media,
creatinina_max,pf_min,
creatinina_max,spo2_min,
creatinina_max,fio2_media,
creatinina_max,rr_max,
creatinina_max,ventilacion_invasiva_6h,
creatinina_max,gcs_min,
creatinina_max,creatinina_max,
diuresis_ml_kg_6h,anchor_age,
diuresis_ml_kg_6h,gender,
diuresis_ml_kg_6h,peso_kg,
diuresis_ml_kg_6h,contador_estancia_uci,
diuresis_ml_kg_6h,map_min,
diuresis_ml_kg_6h,hr_media,
diuresis_ml_kg_6h,pf_min,
diuresis_ml_kg_6h,spo2_min,
diuresis_ml_kg_6h,fio2_media,
diuresis_ml_kg_6h,rr_max,
diuresis_ml_kg_6h,ventilacion_invasiva_6h,
diuresis_ml_kg_6h,gcs_min,
diuresis_ml_kg_6h,creatinina_max,
diuresis_ml_kg_6h,diuresis_ml_kg_6h,
lactato_max,anchor_age,
lactato_max,gender,
lactato_max,peso_kg,
lactato_max,contador_estancia_uci,
lactato_max,map_min,
lactato_max,hr_media,
lactato_max,pf_min,
lactato_max,spo2_min,
lactato_max,fio2_media,
lactato_max,rr_max,
lactato_max,ventilacion_invasiva_6h,
lactato_max,gcs_min,
lactato_max,creatinina_max,
lactato_max,diuresis_ml_kg_6h,
lactato_max,lactato_max,
ph_min,anchor_age,
ph_min,gender,
ph_min,peso_kg,
ph_min,contador_estancia_uci,
ph_min,map_min,
ph_min,hr_media,
ph_min,pf_min,
ph_min,spo2_min,
ph_min,fio2_media,
ph_min,rr_max,
ph_min,ventilacion_invasiva_6h,
ph_min,gcs_min,
ph_min,creatinina_max,
ph_min,diuresis_ml_kg_6h,
ph_min,lactato_max,
ph_min,ph_min,
bicarbonato_min,anchor_age,
bicarbonato_min,gender,
bicarbonato_min,peso_kg,
bicarbonato_min,contador_estancia_uci,
bicarbonato_min,map_min,
bicarbonato_min,hr_media,
bicarbonato_min,pf_min,
bicarbonato_min,spo2_min,
bicarbonato_min,fio2_media,
bicarbonato_min,rr_max,
bicarbonato_min,ventilacion_invasiva_6h,
bicarbonato_min,gcs_min,
bicarbonato_min,creatinina_max,
bicarbonato_min,diuresis_ml_kg_6h,
bicarbonato_min,lactato_max,
bicarbonato_min,ph_min,
bicarbonato_min,bicarbonato_min,
bilirrubina_media,anchor_age,
bilirrubina_media,gender,
bilirrubina_media,peso_kg,
bilirrubina_media,contador_estancia_uci,
bilirrubina_media,map_min,
bilirrubina_media,hr_media,
bilirrubina_media,pf_min,
bilirrubina_media,spo2_min,
bilirrubina_media,fio2_media,
bilirrubina_media,rr_max,
bilirrubina_media,ventilacion_invasiva_6h,
bilirrubina_media,gcs_min,
bilirrubina_media,creatinina_max,
bilirrubina_media,diuresis_ml_kg_6h,
bilirrubina_media,lactato_max,
bilirrubina_media,ph_min,
bilirrubina_media,bicarbonato_min,
bilirrubina_media,bilirrubina_media,
gpt_media,anchor_age,
gpt_media,gender,
gpt_media,peso_kg,
gpt_media,contador_estancia_uci,
gpt_media,map_min,
gpt_media,hr_media,
gpt_media,pf_min,
gpt_media,spo2_min,
gpt_media,fio2_media,
gpt_media,rr_max,
gpt_media,ventilacion_invasiva_6h,
gpt_media,gcs_min,
gpt_media,creatinina_max,
gpt_media,diuresis_ml_kg_6h,
gpt_media,lactato_max,
gpt_media,ph_min,
gpt_media,bicarbonato_min,
gpt_media,bilirrubina_media,
gpt_media,gpt_media,
tp_max,anchor_age,
tp_max,gender,
tp_max,peso_kg,
tp_max,contador_estancia_uci,
tp_max,map_min,
tp_max,hr_media,
tp_max,pf_min,
tp_max,spo2_min,
tp_max,fio2_media,
tp_max,rr_max,
tp_max,ventilacion_invasiva_6h,
tp_max,gcs_min,
tp_max,creatinina_max,
tp_max,diuresis_ml_kg_6h,
tp_max,lactato_max,
tp_max,ph_min,
tp_max,bicarbonato_min,
tp_max,bilirrubina_media,
tp_max,gpt_media,
tp_max,tp_max,
plaquetas_min,anchor_age,
plaquetas_min,gender,
plaquetas_min,peso_kg,
plaquetas_min,contador_estancia_uci,
plaquetas_min,map_min,
plaquetas_min,hr_media,
plaquetas_min,pf_min,
plaquetas_min,spo2_min,
plaquetas_min,fio2_media,
plaquetas_min,rr_max,
plaquetas_min,ventilacion_invasiva_6h,
plaquetas_min,gcs_min,
plaquetas_min,creatinina_max,
plaquetas_min,diuresis_ml_kg_6h,
plaquetas_min,lactato_max,
plaquetas_min,ph_min,
plaquetas_min,bicarbonato_min,
plaquetas_min,bilirrubina_media,
plaquetas_min,gpt_media,
plaquetas_min,tp_max,
plaquetas_min,plaquetas_min,
leucocitos_max,anchor_age,
leucocitos_max,gender,
leucocitos_max,peso_kg,
leucocitos_max,contador_estancia_uci,
leucocitos_max,map_min,
leucocitos_max,hr_media,
leucocitos_max,pf_min,
leucocitos_max,spo2_min,
leucocitos_max,fio2_media,
leucocitos_max,rr_max,
leucocitos_max,ventilacion_invasiva_6h,
leucocitos_max,gcs_min,
leucocitos_max,creatinina_max,
leucocitos_max,diuresis_ml_kg_6h,
leucocitos_max,lactato_max,
leucocitos_max,ph_min,
leucocitos_max,bicarbonato_min,
leucocitos_max,bilirrubina_media,
leucocitos_max,gpt_media,
leucocitos_max,tp_max,
leucocitos_max,plaquetas_min,
leucocitos_max,leucocitos_max,
hemoglobina_min,anchor_age,
hemoglobina_min,gender,
hemoglobina_min,peso_kg,
hemoglobina_min,contador_estancia_uci,
hemoglobina_min,map_min,
hemoglobina_min,hr_media,
hemoglobina_min,pf_min,
hemoglobina_min,spo2_min,
hemoglobina_min,fio2_media,
hemoglobina_min,rr_max,
hemoglobina_min,ventilacion_invasiva_6h,
hemoglobina_min,gcs_min,
hemoglobina_min,creatinina_max,
hemoglobina_min,diuresis_ml_kg_6h,
hemoglobina_min,lactato_max,
hemoglobina_min,ph_min,
hemoglobina_min,bicarbonato_min,
hemoglobina_min,bilirrubina_media,
hemoglobina_min,gpt_media,
hemoglobina_min,tp_max,
hemoglobina_min,plaquetas_min,
hemoglobina_min,leucocitos_max,
hemoglobina_min,hemoglobina_min,
glucemia_max,anchor_age,
glucemia_max,gender,
glucemia_max,peso_kg,
glucemia_max,contador_estancia_uci,
glucemia_max,map_min,
glucemia_max,hr_media,
glucemia_max,pf_min,
glucemia_max,spo2_min,
glucemia_max,fio2_media,
glucemia_max,rr_max,
glucemia_max,ventilacion_invasiva_6h,
glucemia_max,gcs_min,
glucemia_max,creatinina_max,
glucemia_max,diuresis_ml_kg_6h,
glucemia_max,lactato_max,
glucemia_max,ph_min,
glucemia_max,bicarbonato_min,
glucemia_max,bilirrubina_media,
glucemia_max,gpt_media,
glucemia_max,tp_max,
glucemia_max,plaquetas_min,
glucemia_max,leucocitos_max,
glucemia_max,hemoglobina_min,
glucemia_max,glucemia_max,
temp_max,anchor_age,
temp_max,gender,
temp_max,peso_kg,
temp_max,contador_estancia_uci,
temp_max,map_min,
temp_max,hr_media,
temp_max,pf_min,
temp_max,spo2_min,
temp_max,fio2_media,
temp_max,rr_max,
temp_max,ventilacion_invasiva_6h,
temp_max,gcs_min,
temp_max,creatinina_max,
temp_max,diuresis_ml_kg_6h,
temp_max,lactato_max,
temp_max,ph_min,
temp_max,bicarbonato_min,
temp_max,bilirrubina_media,
temp_max,gpt_media,
temp_max,tp_max,
temp_max,plaquetas_min,
temp_max,leucocitos_max,
temp_max,hemoglobina_min,
temp_max,glucemia_max,
temp_max,temp_max,
sofa_media,anchor_age,
sofa_media,gender,
sofa_media,peso_kg,
sofa_media,contador_estancia_uci,
sofa_media,map_min,
sofa_media,hr_media,
sofa_media,pf_min,
sofa_media,spo2_min,
sofa_media,fio2_media,
sofa_media,rr_max,
sofa_media,ventilacion_invasiva_6h,
sofa_media,gcs_min,
sofa_media,creatinina_max,
sofa_media,diuresis_ml_kg_6h,
sofa_media,lactato_max,
sofa_media,ph_min,
sofa_media,bicarbonato_min,
sofa_media,bilirrubina_media,
sofa_media,gpt_media,
sofa_media,tp_max,
sofa_media,plaquetas_min,
sofa_media,leucocitos_max,
sofa_media,hemoglobina_min,
sofa_media,glucemia_max,
sofa_media,temp_max,
sofa_media,sofa_media,
